Variable,m1_coef,m1_se,m1_tstat,m2_coef,m2_se,m2_tstat,m3_coef,m3_se,m3_tstat,m4_coef,m4_se,m4_tstat
did,0.0805***,(0.0121),6.669,0.0828***,(0.0122),6.764,0.1238***,(0.0175),7.065,0.1081***,(0.0169),6.412
SIZE,,,,0.0928***,(0.0271),3.422,,,,-0.0381,(0.0294),-1.294
AGE,,,,-0.0436***,(0.0161),-2.703,,,,-0.0378,(0.0254),-1.488
LEV,,,,-0.1454,(0.0909),-1.599,,,,-0.3841***,(0.0931),-4.126
ROA,,,,0.8510***,(0.1551),5.487,,,,-2.6632***,(0.2449),-10.876
GROWTH,,,,-0.0039,(0.0172),-0.230,,,,0.0313,(0.0194),1.616
CFO,,,,0.1032,(0.0786),1.314,,,,0.3174***,(0.1175),2.702
TOP,,,,-0.0047,(0.1270),-0.037,,,,0.1315,(0.1470),0.895
INDEP,,,,-0.0001,(0.0012),-0.083,,,,0.0008,(0.0018),0.464
MH,,,,-0.0003,(0.0007),-0.433,,,,-0.0009,(0.0012),-0.750
HHI_BANK,,,,2.4606,(3.6892),0.667,,,,2.0212,(5.8848),0.343
MKT,,,,0.0214,(0.0315),0.680,,,,-0.0469,(0.0421),-1.114
N,9004,,,9004,,,9004,,,9004,,
R² (within),0.0239,,,0.0413,,,0.0422,,,0.0726,,
