排名,变量,平均重要性,标准差
1,Dividend_lag,0.17824250498762806,0.045507162130139986
2,ROA,0.07892382853396766,0.017397355722900024
3,Retainedearn_ratio,0.06312369015515411,0.0076783404134908705
4,Tax_ratio,0.044049077374830554,0.009285858653562046
5,Tax_avoid,0.039106982591042706,0.010223981661299961
6,Tax_volatility,0.03301099529889606,0.005007825809033476
7,Growth,0.029137554360604792,0.005915122857764011
8,Lev,0.028919218076280808,0.007404814223673271
9,Tunneling,0.026113804438203412,0.006215350826398125
10,Freecash2,0.0252806721695962,0.0043153752510312875
11,Institution,0.0240488082498234,0.0040583651469765355
12,Minorityrate,0.02384300308520667,0.0032012195798035905
13,Da_abs,0.023016565825188837,0.0037277935681636113
14,Cashflow,0.02271219794666528,0.002862425998412719
15,Sharebalance,0.022294976534121824,0.004962531129421583
16,Top1,0.022282094126799032,0.003125196259115488
17,Btenure,0.021558690142558734,0.004460794445179701
18,Lnsize,0.02145814386702656,0.0027556699128887877
19,Managefee_ratio,0.020823403612746937,0.0019005752689542478
20,Constraint,0.020310627574509077,0.00304752697603289
21,Bage,0.019915005825794738,0.0034123790513474832
22,Sentiment,0.01878101227559477,0.0021399806508480813
23,BM,0.018363997769150625,0.004095947473843097
24,Tobinq,0.018230042967444245,0.004004950467963319
25,Manageshare,0.017779682653117464,0.0027426085157125873
26,Market_idx,0.015905771126726996,0.0028808747668353676
27,Bsalary,0.015719097781257758,0.002897858267369292
28,Analyst_num,0.013399722953665212,0.0038060577459718653
29,Bshare,0.012414806368504738,0.0032925611075460114
30,Bgender,0.012178777417763803,0.0025758387859583904
31,Indep_ratio,0.00947493031646815,0.003633072873438041
32,Pledge,0.007412774721474663,0.003626093332628043
33,ind22,0.002928420043146444,0.004761800237441761
34,ind28,0.002710657177992999,0.001340152181934873
35,Soe,0.0026422464689793987,0.0012060963145970461
36,ind31,0.002144978957095982,0.003955786202456447
37,ind16,0.0020515080915648964,0.0009624873014010916
38,ind17,0.0020485883348194374,0.0007840866576044394
39,Refinance,0.0019927161047462493,0.0007769269505379896
40,ind27,0.0019910041972641857,0.003034599811531283
41,ind18,0.0019413148585913393,0.0018356281765958824
42,ind23,0.0018852455062768466,0.0015754329456671003
43,ind20,0.0018753657455693909,0.0018224956358298045
44,ind29,0.001808958340136198,0.0007994357874678908
45,ind8,0.0017349748013571532,0.0018963910862120274
46,ind24,0.001712169299035405,0.000759284835960206
47,ind25,0.0016933615466454837,0.0007975248673518621
48,ind7,0.0016771880287034739,0.0014505560297151995
49,ind32,0.0016382314937660042,0.0014783989476942884
50,Equity,0.001578586378372495,0.0006104798415772188
51,ind12,0.0013886765632664887,0.001716635130963332
52,ind3,0.0012350176126447543,0.0015722462563689961
53,ind5,0.001207409920300236,0.001420277517231982
54,ind26,0.0011616260073782278,0.001140140683007963
55,ind21,0.0010989797890433922,0.0011297467423905185
56,ind34,0.0010511188921831275,0.000376568077957101
57,ind39,0.0010458624816673204,0.0018945401721652605
58,ind15,0.0010398890618114978,0.001169028259538025
59,ind2,0.0010191927193147269,0.0008770215151608934
60,ind37,0.0010018361907775779,0.0004758940423172587
61,ind19,0.0009429312081376213,0.0006641094038829622
62,ind38,0.000812180255394881,0.0002697140802549338
63,ind35,0.0006567627864976495,0.0005616622763484178
64,ind33,0.0005824850104216546,0.0004484274765588984
65,ind4,0.0004613115918421786,0.00043669118532917996
66,ind41,0.00039328287045935147,0.0006090189104425852
67,ind40,0.00033167682927465837,0.0006426888237326239
68,ind1,0.00023255935858768675,0.0003839169092271251
69,ind30,0.0002109909035245293,0.00023249065064774753
70,ind11,0.00015866229266284104,0.0003092620577718806
71,ind42,7.95711529323242e-05,0.0001829888020507746
